#separator:tab
#html:false
#columns:짝	용어A	정의A	상세A	사례A	용어B	정의B	상세B	사례B	함정	위치	태그
럼바우 방법 vs 코드 요든 방법	럼바우 방법	객체 모델링·동적 모델링·기능 모델링 순으로 분석하는 객체지향 분석 방법론	OMT라고도 한다. 객체 모델링(정보 모델링, 객체 다이어그램) → 동적 모델링(상태 다이어그램) → 기능 모델링(자료 흐름도) 순서다.	객체도로 구조를 잡고, 상태도로 동작을, 자료 흐름도로 기능을 차례로 분석한다.	코드 요든 방법	E-R 다이어그램을 사용해 객체의 행위를 모델링하는 객체지향 분석 방법	객체 식별, 구조 식별, 주제 정의, 속성과 인스턴스 연결 정의, 연산과 메시지 연결 정의 순으로 분석한다.	E-R 다이어그램으로 객체와 관계를 잡고 행위를 붙여 나간다.	세 모델링의 순서와 사용 도구를 묻는다. 객체-동적-기능 순. | E-R 다이어그램 사용 = 코드 요든.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
부치 방법 vs 자콥슨 방법	부치 방법	미시적 개발 프로세스와 거시적 개발 프로세스를 모두 사용하는 객체지향 분석 방법	클래스와 객체를 분석·식별하고 인터페이스와 구현을 기술한다.	큰 흐름(거시)과 클래스 단위 작업(미시)을 같이 굴리며 분석한다.	자콥슨 방법	유스케이스를 중심으로 분석을 진행하는 객체지향 분석 방법	유스케이스라는 단어가 나오면 자콥슨이다.	유스케이스를 먼저 뽑고 그것을 기준으로 클래스를 찾아간다.	방법론 이름과 특징을 짝짓게 한다. | 유스케이스 = 자콥슨.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
일반화 vs 집단화	일반화	여러 개체의 공통 성질을 상위 개체로 묶는 연관성	is a 관계다. 반대로 상위에서 하위로 나누는 것은 특수화(Specialization)다.	카드결제·계좌이체의 공통점을 뽑아 「결제수단」이라는 상위 개념을 만든다.	집단화	서로 관련 있는 개체들을 모아 상위 개체를 구성하는 연관성	part of 관계다. 부분이 전체를 구성한다.	바퀴·엔진·핸들을 모아 「자동차」를 구성한다.	연관성 종류와 영어 표현을 짝짓게 한다. | 연관성 종류 나열형.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
분류화 vs 일반화	분류화	동일한 특성을 갖는 객체들을 하나의 클래스로 묶는 연관성	member of 관계다.	같은 특성을 가진 개체들을 묶어 하나의 클래스로 만든다.	일반화	여러 개체의 공통 성질을 상위 개체로 묶는 연관성	is a 관계다. 반대로 상위에서 하위로 나누는 것은 특수화(Specialization)다.	카드결제·계좌이체의 공통점을 뽑아 「결제수단」이라는 상위 개념을 만든다.	연관성 종류 나열형. | 연관성 종류와 영어 표현을 짝짓게 한다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
분류화 vs 집단화	분류화	동일한 특성을 갖는 객체들을 하나의 클래스로 묶는 연관성	member of 관계다.	같은 특성을 가진 개체들을 묶어 하나의 클래스로 만든다.	집단화	서로 관련 있는 개체들을 모아 상위 개체를 구성하는 연관성	part of 관계다. 부분이 전체를 구성한다.	바퀴·엔진·핸들을 모아 「자동차」를 구성한다.	연관성 종류 나열형. | 연관성 종류 나열형.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
구조 패턴 vs 생성 패턴	구조 패턴	클래스나 객체를 조합해 더 큰 구조를 만드는 디자인 패턴 분류	어댑터, 브리지, 컴포지트, 데코레이터, 퍼싸드, 플라이웨이트, 프록시 7개다.	클래스나 객체를 합쳐 더 큰 구조를 만든다.	생성 패턴	객체의 생성 절차를 추상화해 유연하게 만드는 디자인 패턴 분류	추상 팩토리, 빌더, 팩토리 메소드, 프로토타입, 싱글톤 5개다. 프로토타입과 싱글톤이 여기 속한다는 점이 자주 나온다.	객체를 new 로 직접 만들지 않고 만드는 방법 자체를 감춘다.	7개 이름을 나열형으로 낸다. | 분류에 속하지 않는 패턴을 고르게 한다.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
생성 패턴 vs 행위 패턴	생성 패턴	객체의 생성 절차를 추상화해 유연하게 만드는 디자인 패턴 분류	추상 팩토리, 빌더, 팩토리 메소드, 프로토타입, 싱글톤 5개다. 프로토타입과 싱글톤이 여기 속한다는 점이 자주 나온다.	객체를 new 로 직접 만들지 않고 만드는 방법 자체를 감춘다.	행위 패턴	객체 간 상호작용과 책임 분배를 다루는 디자인 패턴 분류	책임 연쇄, 커맨드, 인터프리터, 반복자, 중재자, 메멘토, 옵서버, 상태, 전략, 템플릿 메소드, 방문자 11개다.	객체들이 일을 어떻게 나눠 주고받을지를 다룬다.	분류에 속하지 않는 패턴을 고르게 한다. | 11개 중 아닌 것을 고르게 한다.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
생성 패턴 vs 싱글톤	생성 패턴	객체의 생성 절차를 추상화해 유연하게 만드는 디자인 패턴 분류	추상 팩토리, 빌더, 팩토리 메소드, 프로토타입, 싱글톤 5개다. 프로토타입과 싱글톤이 여기 속한다는 점이 자주 나온다.	객체를 new 로 직접 만들지 않고 만드는 방법 자체를 감춘다.	싱글톤	클래스의 인스턴스가 하나만 생성되도록 보장하는 생성 패턴	어디서든 참조할 수 있으나 동시에 여러 프로세스가 사용할 수는 없다. 전역적으로 하나만 필요한 자원 관리에 쓴다.	애플리케이션 설정 객체나 DB 커넥션 풀을 인스턴스 하나로만 유지한다.	분류에 속하지 않는 패턴을 고르게 한다. | 인스턴스가 하나 = 싱글톤.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
추상 팩토리 vs 팩토리 메소드	추상 팩토리	구체적인 클래스에 의존하지 않고 인터페이스를 통해 관련 객체 그룹을 생성하는 생성 패턴	연관된 서브 클래스를 묶어 한 번에 교체할 수 있다.	다크/라이트 테마별로 버튼·체크박스 세트를 한꺼번에 갈아 끼운다.	팩토리 메소드	객체 생성을 서브 클래스에서 처리하도록 분리해 캡슐화한 생성 패턴	가상 생성자(Virtual Constructor) 패턴이라고도 한다.	createPayment("card") 가 알맞은 결제 객체를 만들어 돌려준다.	생성 패턴 5종 나열형. | 추상 팩토리와의 구별.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
빌더 vs 추상 팩토리	빌더	복잡한 객체의 생성 과정과 표현 방법을 분리해 단계별로 조립하는 생성 패턴	같은 생성 절차로 서로 다른 표현 결과를 만들 수 있다.	new Person().name("홍").age(30).build() 처럼 단계별로 조립한다.	추상 팩토리	구체적인 클래스에 의존하지 않고 인터페이스를 통해 관련 객체 그룹을 생성하는 생성 패턴	연관된 서브 클래스를 묶어 한 번에 교체할 수 있다.	다크/라이트 테마별로 버튼·체크박스 세트를 한꺼번에 갈아 끼운다.	생성 패턴 5종 나열형. | 생성 패턴 5종 나열형.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
싱글톤 vs 프로토타입 패턴	싱글톤	클래스의 인스턴스가 하나만 생성되도록 보장하는 생성 패턴	어디서든 참조할 수 있으나 동시에 여러 프로세스가 사용할 수는 없다. 전역적으로 하나만 필요한 자원 관리에 쓴다.	애플리케이션 설정 객체나 DB 커넥션 풀을 인스턴스 하나로만 유지한다.	프로토타입 패턴	원본 객체를 복제해 새 객체를 생성하는 생성 패턴	비용이 큰 객체를 매번 새로 만들지 않고 복사한다. UI 설계의 프로토타입과 이름만 같고 다른 개념이다.	설정이 복잡한 객체를 매번 만들지 않고 clone() 으로 복제해 쓴다.	인스턴스가 하나 = 싱글톤. | UI 프로토타입과 혼동 유도.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
구조 패턴 vs 행위 패턴	구조 패턴	클래스나 객체를 조합해 더 큰 구조를 만드는 디자인 패턴 분류	어댑터, 브리지, 컴포지트, 데코레이터, 퍼싸드, 플라이웨이트, 프록시 7개다.	클래스나 객체를 합쳐 더 큰 구조를 만든다.	행위 패턴	객체 간 상호작용과 책임 분배를 다루는 디자인 패턴 분류	책임 연쇄, 커맨드, 인터프리터, 반복자, 중재자, 메멘토, 옵서버, 상태, 전략, 템플릿 메소드, 방문자 11개다.	객체들이 일을 어떻게 나눠 주고받을지를 다룬다.	7개 이름을 나열형으로 낸다. | 11개 중 아닌 것을 고르게 한다.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
브리지 패턴 vs 어댑터	브리지 패턴	구현부와 추상층을 분리해 서로 독립적으로 확장할 수 있게 하는 구조 패턴	기능 계층과 구현 계층을 각각 확장할 수 있다.	도형(원·사각형)과 렌더링 방식(벡터·래스터)을 따로 확장할 수 있게 나눈다.	어댑터	호환되지 않는 인터페이스를 변환해 함께 동작하게 하는 구조 패턴	기존 클래스를 수정하지 않고 새 인터페이스에 맞춘다. 변환·호환이라는 단어가 핵심이다.	레거시 XML 응답을 새 JSON 인터페이스에 맞게 변환해 끼워 넣는다.	구조 패턴 7종 나열형. | 인터페이스 변환 = 어댑터.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
어댑터 vs 퍼싸드	어댑터	호환되지 않는 인터페이스를 변환해 함께 동작하게 하는 구조 패턴	기존 클래스를 수정하지 않고 새 인터페이스에 맞춘다. 변환·호환이라는 단어가 핵심이다.	레거시 XML 응답을 새 JSON 인터페이스에 맞게 변환해 끼워 넣는다.	퍼싸드	복잡한 서브시스템에 대해 단순한 통합 인터페이스를 제공하는 구조 패턴	클라이언트와 서브시스템 사이에 상위 창구를 하나 둔다.	복잡한 결제 절차를 PaymentFacade.pay() 한 줄로 감싼다.	인터페이스 변환 = 어댑터. | 단순한 창구 제공 = 퍼싸드.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
데코레이터 vs 컴포지트	데코레이터	객체를 감싸 기능을 동적으로 추가하는 구조 패턴	상속 없이 기능을 확장한다. 여러 데코레이터를 겹칠 수 있다.	기본 커피에 샷 추가·시럽 추가를 겹겹이 감싸 가격을 누적한다.	컴포지트	단일 객체와 복합 객체를 동일하게 다룰 수 있게 트리 구조로 구성하는 구조 패턴	부분과 전체를 같은 인터페이스로 처리한다.	폴더 안에 파일과 폴더가 섞여 있어도 같은 방식으로 크기를 계산한다.	기능 추가 = 데코레이터. | 트리 구조 = 컴포지트.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
데코레이터 vs 프록시	데코레이터	객체를 감싸 기능을 동적으로 추가하는 구조 패턴	상속 없이 기능을 확장한다. 여러 데코레이터를 겹칠 수 있다.	기본 커피에 샷 추가·시럽 추가를 겹겹이 감싸 가격을 누적한다.	프록시	실제 객체에 대한 접근을 대리 객체가 제어하는 구조 패턴	원격 접근, 접근 권한 제어, 지연 생성에 쓴다. 대리라는 단어가 핵심이다.	Hibernate 가 실제 조회를 미룬 가짜 객체를 먼저 주고, 쓸 때 DB를 친다.	기능 추가 = 데코레이터. | 대리·대행 = 프록시.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
퍼싸드 vs 프록시	퍼싸드	복잡한 서브시스템에 대해 단순한 통합 인터페이스를 제공하는 구조 패턴	클라이언트와 서브시스템 사이에 상위 창구를 하나 둔다.	복잡한 결제 절차를 PaymentFacade.pay() 한 줄로 감싼다.	프록시	실제 객체에 대한 접근을 대리 객체가 제어하는 구조 패턴	원격 접근, 접근 권한 제어, 지연 생성에 쓴다. 대리라는 단어가 핵심이다.	Hibernate 가 실제 조회를 미룬 가짜 객체를 먼저 주고, 쓸 때 DB를 친다.	단순한 창구 제공 = 퍼싸드. | 대리·대행 = 프록시.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
책임 연쇄 vs 커맨드	책임 연쇄	요청을 처리할 객체를 찾을 때까지 연결된 객체들에 차례로 넘기는 행위 패턴	처리 객체가 미정일 때 유용하다.	서블릿 필터가 인증 → 로깅 → 압축 순으로 요청을 넘겨 가며 처리한다.	커맨드	요청을 객체로 캡슐화해 실행 취소·재실행을 가능하게 하는 행위 패턴	요청을 큐에 넣거나 로그로 남길 수 있다.	편집기의 「실행 취소」를 위해 각 동작을 객체로 만들어 기록해 둔다.	행위 패턴 11종 나열형. | 요청을 객체로 = 커맨드.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
메멘토 vs 커맨드	메멘토	객체의 내부 상태를 저장해 이전 상태로 되돌릴 수 있게 하는 행위 패턴	Undo 기능 구현에 쓴다. Ctrl+Z가 예시다.	Ctrl+Z — 이전 상태를 저장해 두었다가 되돌린다.	커맨드	요청을 객체로 캡슐화해 실행 취소·재실행을 가능하게 하는 행위 패턴	요청을 큐에 넣거나 로그로 남길 수 있다.	편집기의 「실행 취소」를 위해 각 동작을 객체로 만들어 기록해 둔다.	되돌리기 = 메멘토. | 요청을 객체로 = 커맨드.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
반복자 vs 방문자	반복자	집합 객체의 내부 구조를 노출하지 않고 요소를 순차 접근하게 하는 행위 패턴	자료 구조에 상관없이 동일한 순회 인터페이스를 제공한다.	List·Set·Map 이 달라도 for-each 하나로 똑같이 순회한다.	방문자	객체 구조를 변경하지 않고 새로운 연산을 추가할 수 있게 하는 행위 패턴	연산을 별도의 방문자 클래스로 분리한다.	문서 트리 구조는 그대로 두고 「HTML 출력」, 「PDF 출력」 연산만 새로 추가한다.	순차 접근 = 반복자. | 행위 패턴 11종 나열형.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
