#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
조건 결정 커버리지	Condition/Decision Coverage	조건식 전체와 개별 조건 모두가 참·거짓을 갖도록 하는 커버리지	결정 커버리지와 조건 커버리지를 합친 것이다.	전체 결과와 개별 조건 모두 참·거짓을 갖게 한다.	결정 + 조건을 합친 것.	결정 커버리지 / 변경 조건 결정 커버리지	커버리지 강도 순서 문제.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
변경 조건 결정 커버리지	Modified Condition/Decision Coverage, MC/DC	개별 조건이 독립적으로 전체 결과에 영향을 주는 경우를 검증하는 커버리지	항공·자동차 등 안전 필수 소프트웨어에서 요구한다. 조건 결정 커버리지보다 강하다.	항공기·자동차 소프트웨어 인증(DO-178C)에서 요구하는 강한 기준.	개별 조건이 「혼자서」 결과를 바꾸는 경우를 검증.	조건 결정 커버리지 / 다중 조건 커버리지	가장 강한 커버리지 중 하나로 출제.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
다중 조건 커버리지	Multiple Condition Coverage	개별 조건의 모든 조합을 검증하는 가장 강한 커버리지	조건이 n개면 2의 n승 조합을 모두 테스트한다.	조건 3개면 8가지 조합 전부를 테스트한다.	2ⁿ 조합 전수 — 가장 강하다.	변경 조건 결정 커버리지 / 조건 커버리지	커버리지 강도 최상위.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
블랙박스 테스트	Black Box Test	내부 구조를 모른 채 입력과 출력의 명세만으로 테스트하는 기법	기능 기반 테스트, 명세 기반 테스트라고 한다. 주로 구현 완료 후 수행한다.	나이 입력란에 -1, 0, 19, 150 을 넣어 보고 화면 반응만 확인한다.	속을 모르고 입출력만 본다.	화이트박스 테스트 / 동등 분할 검사 / 경계값 분석	기법 종류를 화이트박스와 섞어 분류하게 한다.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
동등 분할 검사	Equivalence Partitioning	입력 조건에 유효한 값과 무효한 값을 균등하게 분할해 대표값으로 테스트하는 기법	동치 분할, 동치 클래스 분해라고도 한다. 각 분할에서 하나씩 뽑아 테스트한다.	나이를 「미성년(0~18)·성인(19~64)·노인(65+)」으로 나눠 각 그룹에서 하나씩 넣는다.	같은 처리를 받는 묶음에서 대표 하나.	경계값 분석 / 블랙박스 테스트	기법 이름과 정의를 짝짓게 한다.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
경계값 분석	Boundary Value Analysis	입력 조건의 경계값에서 오류가 발생할 확률이 높다는 점을 이용한 기법	동등 분할의 취약점을 보완한다. 최소값, 최소값−1, 최대값, 최대값+1을 테스트한다.	할인 기준이 「10만원 이상」이면 99,999 · 100,000 · 100,001 을 넣는다.	사고는 경계에서 난다.	동등 분할 검사 / 블랙박스 테스트	경계에서 오류 = 경계값 분석.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
원인 효과 그래프 검사	Cause-Effect Graphing	입력 데이터 간의 관계와 출력에 미치는 영향을 그래프로 분석해 테스트 케이스를 도출하는 기법	입력(원인)과 출력(효과)의 논리 관계를 그린다.	「회원 여부 × 쿠폰 보유」가 결과에 어떻게 이어지는지 그래프로 분석한다.	원인과 효과의 논리 관계.	결정 테이블 테스트 / 동등 분할 검사	블랙박스 기법 나열형.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
오류 예측 검사	Error Guessing	경험과 감각에 기반해 오류가 있을 만한 부분을 추정해 테스트하는 기법	데이터 확인 검사라고도 한다. 다른 기법으로 찾지 못한 오류를 보완한다.	「여기 빈 값 넣으면 터질 것 같다」는 경험으로 찔러 본다.	경험과 감으로 찌른다.	비교 검사 / 블랙박스 테스트	경험 기반 = 오류 예측 검사.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
비교 검사	Comparison Testing	여러 버전의 프로그램에 동일한 데이터를 넣어 결과를 비교하는 기법	백투백 테스트(Back-to-Back Test)라고도 한다.	구 버전과 신 버전에 같은 입력을 넣고 결과가 같은지 본다.	백투백(Back-to-Back) 테스트.	병행 테스트 / 오류 예측 검사	블랙박스 기법 나열형.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
결정 테이블 테스트	Decision Table Testing	조건과 행위를 표로 정리해 조합별 테스트 케이스를 도출하는 기법	의사결정표를 사용한다. 소단위 명세서 작성 도구와 같은 표를 쓴다.	조건 조합표를 만들고 각 행을 테스트 케이스로 바꾼다.	표의 행 하나 = 케이스 하나.	원인 효과 그래프 검사 / 소단위 명세서	블랙박스 기법 나열형.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
상태 전이 테스트	State Transition Testing	상태와 사건에 따른 전이를 표로 만들어 테스트하는 기법	상태 다이어그램을 기반으로 한다.	주문 상태를 「접수 → 취소」로 바꿔 보고, 「완료 → 취소」는 막히는지 본다.	허용된 전이와 금지된 전이를 모두.	상태 다이어그램 / 결정 테이블 테스트	블랙박스 기법 나열형.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
유스케이스 테스트	Use Case Testing	유스케이스 시나리오를 기반으로 테스트 케이스를 도출하는 기법	비즈니스 흐름에 따른 통합 검증에 적합하다.	「비회원이 주문한다」 시나리오를 처음부터 끝까지 그대로 밟는다.	업무 흐름 그대로.	유스케이스 명세서 / 블랙박스 테스트	블랙박스 기법 나열형.	2-13 블랙박스 테스트 (2과목)	유형_용어 과목2 챕터_2_13
테스트 레벨	Test Level	개발 단계에 대응해 구분한 테스트의 수준	단위 → 통합 → 시스템 → 인수 순이다. V 모델에서 각 개발 단계와 대응된다.	단위 → 통합 → 시스템 → 인수 순으로 범위를 넓혀 간다.	V 모델에서 각 개발 단계와 짝을 이룬다.	단위 테스트 / 통합 테스트 / 시스템 테스트 / 인수 테스트	순서를 묻거나 각 레벨의 대상을 바꿔 낸다.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14 오답노트출처
단위 테스트	Unit Test	코딩 직후 모듈이나 컴포넌트를 개별적으로 검증하는 테스트	구조 기반(화이트박스)과 명세 기반(블랙박스) 모두 사용하나 구조 기반이 주가 된다.	JUnit 으로 함수 하나만 떼어 입력과 기대값을 검증한다.	모듈 하나만.	통합 테스트 / 테스트 레벨	레벨별 대상 구별.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14
통합 테스트	Integration Test	단위 테스트를 마친 모듈을 결합해 인터페이스 오류를 검증하는 테스트	방식은 빅뱅, 하향식, 상향식, 혼합식(샌드위치)이다.	결제 모듈과 재고 모듈을 붙여 인터페이스가 맞는지 본다.	모듈 사이의 「접점」이 대상.	하향식 통합 테스트 / 상향식 통합 테스트 / 빅뱅 통합 테스트	통합 방식 4종과 각 방식의 도구를 묻는다.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14
빅뱅 통합 테스트	Big Bang Integration	모든 모듈을 한꺼번에 결합해 테스트하는 비점진적 통합 방식	오류 위치를 찾기 어렵고 원인 분석이 힘들다.	전부 다 붙여 한꺼번에 돌리고 안 되면 어디가 문제인지 헤맨다.	비점진적 — 원인 찾기가 지옥.	하향식 통합 테스트 / 상향식 통합 테스트	비점진적 = 빅뱅.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14
하향식 통합 테스트	Top-Down Integration	상위 모듈에서 하위 모듈 방향으로 통합하는 방식	하위 모듈이 아직 없을 때 스텁(Stub)을 사용한다. 깊이 우선 또는 넓이 우선으로 통합한다.	화면부터 붙이고 아직 없는 하위 모듈은 가짜(스텁)로 대체한다.	위 → 아래, 스텁.	상향식 통합 테스트 / 스텁 / 테스트 드라이버	하향식은 스텁, 상향식은 드라이버라는 대응이 핵심.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14
상향식 통합 테스트	Bottom-Up Integration	하위 모듈에서 상위 모듈 방향으로 통합하는 방식	상위 모듈이 아직 없을 때 테스트 드라이버(Driver)를 사용한다. 하위 모듈을 클러스터로 결합한다.	DB 접근 모듈부터 붙이고 아직 없는 상위는 드라이버로 대신 호출한다.	아래 → 위, 드라이버.	하향식 통합 테스트 / 테스트 드라이버 / 스텁	드라이버와 스텁을 바꿔 내는 함정이 매우 잦다.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14
스텁	Stub	하향식 통합에서 아직 개발되지 않은 하위 모듈을 대체하는 가상 모듈	제어 모듈이 호출하면 형식적인 결과만 반환한다.	아직 안 만든 결제 API 대신 「항상 성공」만 돌려주는 가짜 함수.	하향식의 짝.	테스트 드라이버 / 하향식 통합 테스트	하향식 = 스텁.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14
테스트 드라이버	Test Driver	상향식 통합에서 아직 개발되지 않은 상위 모듈 역할을 하는 가상 모듈	하위 모듈을 호출해 매개변수를 전달하고 결과를 받는다.	아직 없는 화면 대신 테스트 코드가 하위 모듈을 직접 호출한다.	상향식의 짝.	스텁 / 상향식 통합 테스트	상향식 = 드라이버.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14
시스템 테스트	System Test	완성된 시스템 전체가 요구사항을 충족하는지 검증하는 테스트	기능 요구사항과 비기능 요구사항(성능, 보안, 신뢰성)을 모두 검증한다. 실제 운영 환경과 유사한 환경에서 수행한다.	운영과 같은 환경에서 전체 기능·성능·보안을 통째로 검증한다.	알파·베타는 여기가 아니라 인수 테스트다.	인수 테스트 / 통합 테스트	알파·베타 테스트를 시스템 테스트로 잘못 연결하는 함정이 있다.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14 오답노트출처
인수 테스트	Acceptance Test	사용자가 요구사항 충족 여부를 최종 확인하는 테스트	종류는 사용자 인수, 운영상의 인수, 계약 인수, 규정 인수, 알파 테스트, 베타 테스트다.	발주처가 검수 기준서를 들고 와 하나씩 확인하고 서명한다.	사용자가 최종 확인.	알파 테스트 / 베타 테스트 / 시스템 테스트	알파·베타가 인수 테스트에 속한다는 점이 반복 출제된다.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14 오답노트출처
알파 테스트	Alpha Test	개발자의 통제된 장소에서 선택된 사용자가 수행하고 개발자가 문제를 기록하는 인수 테스트	개발자가 옆에서 관찰한다는 점이 핵심이다.	회의실에서 현업 담당자가 써 보고 개발자가 옆에서 문제를 적는다.	개발자 옆 · 통제된 환경.	베타 테스트 / 인수 테스트	알파와 베타의 장소·수행자를 바꿔 낸다.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14 오답노트출처
베타 테스트	Beta Test	실제 사용자의 실 사용 환경에서 다수가 수행하는 인수 테스트	필드 테스트라고도 한다. 사용자가 문제를 개발자에게 통보한다.	오픈 베타로 실제 사용자 1만 명에게 풀고 신고를 받는다.	사용자 현장 · 실사용 환경.	알파 테스트 / 인수 테스트	실사용 환경 = 베타.	2-14 테스트 레벨 · 통합 테스트 (2과목)	유형_용어 과목2 챕터_2_14 오답노트출처
테스트 케이스	Test Case	요구사항 준수 여부를 확인하기 위한 입력값·실행 조건·기대 결과의 집합	ISO/IEC/IEEE 29119-3 기준 구성 요소는 식별자, 테스트 항목, 입력명세, 출력명세, 환경설정, 특수절차요구, 의존성 기술이다.	「TC-012 / 나이 -1 입력 / 오류 메시지 표시」 형식으로 정리한다.	입력값·실행조건·기대결과 3요소.	테스트 시나리오 / 테스트 오라클 / 테스트 스크립트	구성 요소 나열형.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_용어 과목2 챕터_2_15
테스트 시나리오	Test Scenario	테스트 케이스를 적용하는 순서에 따라 묶은 집합	시스템별·모듈별·기능별로 분리해 작성한다. 테스트 케이스의 상위 개념이다.	「회원가입 → 로그인 → 주문 → 취소」처럼 케이스를 순서대로 묶는다.	케이스의 상위 묶음.	테스트 케이스 / 테스트 스크립트	케이스와 시나리오의 포함 관계를 묻는다.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_용어 과목2 챕터_2_15
테스트 오라클	Test Oracle	테스트 결과가 참인지 판단하기 위해 미리 정의된 참값을 대입해 비교하는 활동	종류는 참(True), 샘플링(Sampling), 추정(Heuristic), 일관성 검사(Consistent) 네 가지다. 토탈 오라클이라는 용어는 없다.	기대값을 미리 정해 두고 실제 결과와 대조한다.	참·샘플링·추정·일관성 4종. 토탈 오라클은 없다.	참 오라클 / 샘플링 오라클 / 추정 오라클 / 일관성 검사 오라클	존재하지 않는 이름(토탈 오라클)을 끼워 넣는다.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_용어 과목2 챕터_2_15 오답노트출처
참 오라클	True Oracle	모든 테스트 케이스의 입력값에 대해 기대하는 결과를 제공하는 오라클	모든·전체라는 단어가 나오면 참 오라클이다. 항공기·발전소 등 미션 크리티컬에 사용한다.	항공기 제어처럼 모든 입력에 정답을 다 준비해 대조한다.	「모든」이 나오면 참 오라클.	샘플링 오라클 / 테스트 오라클	전부 = 참 오라클.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_용어 과목2 챕터_2_15 오답노트출처
샘플링 오라클	Sampling Oracle	특정한 몇몇 테스트 케이스의 입력값에 대해서만 기대 결과를 제공하는 오라클	전수 검증이 불가능할 때 사용한다.	대표 입력 20건에만 기대값을 준비한다.	「몇몇」만.	참 오라클 / 추정 오라클	몇몇 = 샘플링.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_용어 과목2 챕터_2_15 오답노트출처
